id,genus,species,common_name,latitude,longitude,type,date,time,length,quality,remarks,sex,stage,also,file_name,local_file
417849,Porzana,carolina,Sora,39.919,-83.2065,song,2018-05-06,08:30,0:06,B,Natural vocalization from wet grassy field on windy morning.,,,,Porzana_carolina_Battelle_Darby_Metro_Park_-_Wetlands_417849.mp3,Original Recordings\Porzana_carolina_Battelle_Darby_Metro_Park_-_Wetlands_417849.mp3
625913,Antigone,canadensis,Sandhill Crane,40.3695,-83.0483,alarm call,2021-03-02,11:20,0:32,B,"Pair together, seen while recording was made. For most of the recording the first bird is likely the male (lower pitched voice) a few times alone then the females call is added. There is a series of calls near the middle of the recording where the male and female overlap, male first then female with a slight overlap of the beginning of the female with the end of the male's vocalization. These are the ""guard calls"" of the species, indicating that they were aroused, probably by my presence, however they had been calling before there was a direct line-of-sight view. The birds were across a pond/mudflat approximately 100 to 150 m away.","female, male",adult,Thryothorus ludovicianus,Antigone_canadensis_Troy_Township_near__Delaware_Delaware_County_Ohio_625913.mp3,Original Recordings\Antigone_canadensis_Troy_Township_near__Delaware_Delaware_County_Ohio_625913.mp3
817568,Charadrius,vociferus,Killdeer,41.6275,-83.1897,call,2023-05-16,10:10,0:42,B,calling in flight; fragment; interval shortened at 0:11 and 0:20;,uncertain,adult,Agelaius phoeniceus,Charadrius_vociferus_Magee_Marsh_-_boardwalk_Lucas_County_Ohio_817568.mp3,Original Recordings\Charadrius_vociferus_Magee_Marsh_-_boardwalk_Lucas_County_Ohio_817568.mp3
533371,Charadrius,vociferus,Killdeer,39.3439,-84.6688,flight call,2020-03-08,10:00,0:15,B,,,,,Charadrius_vociferus_Ross_Township_near__Hamilton_Butler_County_Ohio_533371.mp3,Original Recordings\Charadrius_vociferus_Ross_Township_near__Hamilton_Butler_County_Ohio_533371.mp3
17027,Calidris,alpina,Dunlin,41.61422,-83.17215,"call, flock",2007-05-02,?,0:09,D,Flock of about 1000 birds in distance.,,,"Agelaius phoeniceus, Branta canadensis",Calidris_alpina_Ohio_Magee_Marsh_17027.mp3,Original Recordings\Calidris_alpina_Ohio_Magee_Marsh_17027.mp3
837811,Scolopax,minor,American Woodcock,41.9487,-82.5194,song,2023-05-15,21:00,1:48,A,Displaying male,male,,Branta canadensis,Scolopax_minor_Point_Pelee_National_Park_near__Wheatley_Essex_County_Ontario_837811.mp3,Original Recordings\Scolopax_minor_Point_Pelee_National_Park_near__Wheatley_Essex_County_Ontario_837811.mp3
476517,Scolopax,minor,American Woodcock,41.9457,-82.5143,"song, display flight",2019-05-13,21:00,1:01,A,,,,,Scolopax_minor_Pelee_near__Leamington_Essex_County_Ontario_476517.mp3,Original Recordings\Scolopax_minor_Pelee_near__Leamington_Essex_County_Ontario_476517.mp3
418105,Scolopax,minor,American Woodcock,41.6847,-83.395,"flight call, song",2018-05-08,21:40,1:00,A,Natural vocalization of two birds. One is on the ground doing the beent and the other in the air twittering.,,,,Scolopax_minor_Maumee_Bay_SP_Ohio_418105.mp3,Original Recordings\Scolopax_minor_Maumee_Bay_SP_Ohio_418105.mp3
418103,Scolopax,minor,American Woodcock,41.6847,-83.395,song,2018-05-08,21:35,2:20,A,Natural vocalization. Beent and same bird as  XC418099,,,Turdus migratorius,Scolopax_minor_Maumee_Bay_SP_Ohio_418103.mp3,Original Recordings\Scolopax_minor_Maumee_Bay_SP_Ohio_418103.mp3
418101,Scolopax,minor,American Woodcock,41.6847,-83.395,song,2018-05-08,21:30,0:04,A,Natural vocalization. Beent and same bird as  XC418099,,,,Scolopax_minor_Maumee_Bay_SP_Ohio_418101.mp3,Original Recordings\Scolopax_minor_Maumee_Bay_SP_Ohio_418101.mp3
